City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
209,Petropavlovsk-Kamchatskiy,RU,2022-10-25 23:15:44,53.0452,158.6483,36.19,60,40,8.95,scattered clouds
210,Sawakin,SD,2022-10-25 23:15:45,19.1059,37.3321,83.8,71,27,3.85,scattered clouds
211,Lasa,IT,2022-10-25 23:15:46,46.6166,10.7002,52.68,92,82,2.75,broken clouds
212,Beitbridge,ZW,2022-10-25 23:15:46,-22.2167,30.0,82.24,35,2,5.26,clear sky
213,Geraldton,AU,2022-10-25 23:15:47,-28.7667,114.6,55.81,82,2,3.44,clear sky
214,Saskylakh,RU,2022-10-25 23:15:47,71.9167,114.0833,-6.7,100,68,4.07,broken clouds
215,Severo-Kurilsk,RU,2022-10-25 23:15:48,50.6789,156.125,40.03,64,2,7.45,clear sky
216,Husavik,IS,2022-10-25 23:15:48,66.0449,-17.3389,35.8,88,100,7.14,overcast clouds
217,Paamiut,GL,2022-10-25 23:15:49,61.994,-49.6678,30.72,60,39,5.23,scattered clouds
218,Libertador General San Martin,AR,2022-10-25 23:15:49,-23.8064,-64.7876,91.31,31,2,7.65,clear sky
219,Sangmelima,CM,2022-10-25 23:15:50,2.9333,11.9833,67.42,99,100,1.7,overcast clouds
220,Botou,CN,2022-10-25 23:15:51,38.0667,116.5667,59.77,44,100,11.5,overcast clouds
221,Ensley,US,2022-10-25 23:15:52,30.5188,-87.2728,76.89,93,100,13.8,overcast clouds
222,Fomboni,KM,2022-10-25 23:15:53,-12.28,43.7425,77.02,78,8,18.12,clear sky
223,Tukrah,LY,2022-10-25 23:15:53,32.5341,20.5791,70.11,81,0,6.8,clear sky
224,Airai,TL,2022-10-25 23:15:54,-8.9266,125.4092,66.09,79,100,1.25,overcast clouds
225,Grootfontein,NA,2022-10-25 23:15:54,-19.5667,18.1167,72.97,49,66,9.22,broken clouds
226,Phalaborwa,ZA,2022-10-25 23:15:55,-23.943,31.1411,81.1,41,31,3.33,scattered clouds
227,Kimbe,PG,2022-10-25 23:16:56,-5.5502,150.1429,86.68,66,90,0.98,overcast clouds
228,Angouleme,FR,2022-10-25 23:16:57,45.65,0.15,62.92,81,0,5.75,clear sky
229,Ranong,TH,2022-10-25 23:16:58,9.9658,98.6348,75.13,87,100,1.19,light rain
230,Belfast,GB,2022-10-25 23:13:29,54.5833,-5.9333,57.02,94,75,19.57,heavy intensity rain
231,Haapiti,PF,2022-10-25 23:16:59,-17.5667,-149.8667,82.13,80,100,23.87,light rain
232,Berlevag,NO,2022-10-25 23:16:59,70.8578,29.0864,32.0,66,100,7.56,overcast clouds
233,Upernavik,GL,2022-10-25 23:17:00,72.7868,-56.1549,22.91,94,100,9.8,light snow
234,Nishihara,JP,2022-10-25 23:17:00,26.1842,127.7558,72.68,59,75,12.66,broken clouds
235,Namibe,AO,2022-10-25 23:17:01,-15.1961,12.1522,68.4,86,37,6.89,scattered clouds
236,Kurilsk,RU,2022-10-25 23:17:02,45.2333,147.8833,43.99,53,5,2.51,clear sky
237,Hendersonville,US,2022-10-25 23:17:02,36.3048,-86.62,66.58,97,99,3.0,overcast clouds
238,Uddevalla,SE,2022-10-25 23:17:03,58.3478,11.9424,53.85,94,63,3.0,broken clouds
239,Juanjui,PE,2022-10-25 23:17:03,-7.1779,-76.7314,81.75,68,95,1.68,overcast clouds
240,Marzuq,YE,2022-10-25 23:17:04,14.4,46.4667,65.61,58,6,1.86,clear sky
241,Petropavl,KZ,2022-10-25 23:15:07,54.8753,69.1628,31.14,85,100,3.24,overcast clouds
242,Praia,CV,2022-10-25 23:12:16,14.9215,-23.5087,77.54,78,20,14.97,few clouds
243,Kizukuri,JP,2022-10-25 23:17:05,40.8061,140.3861,49.95,63,2,3.69,clear sky
244,Alice Springs,AU,2022-10-25 23:17:06,-23.7,133.8833,78.35,36,2,11.5,clear sky
245,Boyolangu,ID,2022-10-25 23:17:06,-8.1181,111.8935,75.87,85,96,4.97,overcast clouds
246,Luderitz,NA,2022-10-25 23:17:07,-26.6481,15.1594,64.83,57,100,12.26,overcast clouds
247,Okhotsk,RU,2022-10-25 23:17:08,59.3833,143.3,23.13,62,20,8.79,few clouds
248,Nouadhibou,MR,2022-10-25 23:17:08,20.931,-17.0347,70.7,82,2,14.63,clear sky
249,Sokolka,PL,2022-10-25 23:17:09,53.4072,23.5023,52.68,96,79,5.39,broken clouds
250,Valdivia,CL,2022-10-25 23:17:10,-39.8142,-73.2459,57.29,99,95,2.68,overcast clouds
251,Ponta Do Sol,PT,2022-10-25 23:17:10,32.6667,-17.1,73.0,89,53,5.91,light rain
252,Duku,NG,2022-10-25 23:17:11,11.2361,4.9073,78.51,41,99,3.36,overcast clouds
253,Thompson,CA,2022-10-25 23:15:13,55.7435,-97.8558,25.41,96,100,8.72,snow
254,Dinguiraye,GN,2022-10-25 23:17:12,11.3,-10.7167,72.57,72,13,3.31,few clouds
255,Provideniya,RU,2022-10-25 23:17:13,64.3833,-173.3,28.51,59,100,15.66,overcast clouds
256,Port Lincoln,AU,2022-10-25 23:17:13,-34.7333,135.8667,58.39,80,89,12.59,overcast clouds
257,Sao Joao Da Barra,BR,2022-10-25 23:17:13,-21.6403,-41.0511,71.69,87,46,10.27,scattered clouds
258,Baykit,RU,2022-10-25 23:17:15,61.67,96.37,31.95,80,100,10.29,light snow
